Clade_name;Status;Missing_species;Branching_times;Min_age
Pedinopista_stigmaticus;Endemic;0;2.001;
Pagiopalus_atomarius_Pagiopalus_sp;Endemic;0;1.337, 1.205;0.576
Pagiopalus_nigriventis;Endemic;0;1.506;0.387
Tetragnatha_obscura_Tetragnatha_kukuhaa;Endemic;0;1.73,0.29;
Tetragnatha_hawaiiensis;NonEndemic;0;4.787;
Tetragnatha_quasimodo;NonEndemic;0;2.761;
Tretagna_anuenue;Endemic;0;2.1;
Tetragnatha_brevignathaHA;NonEndemic;0;1.69;
Tetragnatha_restricta;NonEndemic;0;2.05;
Tetragnatha_kea;Endemic;0;1.72;
Tetragnatha_long_clawed_legs;Endemic;0;1.6;
Tetragnatha_elongate_forest_D_Tetragnatha_elongate_forest_E;Endemic;0;0.79,0.145;
Tetragnatha_perkinsi;Endemic;0;1.64;
Tetragnatha_golden_dome_Tetragnatha_red_star;Endemic;0;2.53,2.06;
Tetragnatha_acuta;NonEndemic;1;NA;
Orsonwelles_graphicus;Endemic;0;3.02;0.48
Mecaphesa_anguliventris;Nonendemic;0;0.3078;0.0166
Mecaphesa_naevigera;Nonendemic;0;0.5043;0
Mecaphesa_cavata;Endemic;0;1.402;0.2068
Mecaphesa_facunda;Endemic;0;1.3136;0.4135
Mecaphesa_kanakana;Nonendemic;0;0.779;0.5783
Mecaphesa_imbricata;Nonendemic;1;NA;NA
Mecaphesa_insulana;Nonendemic;1;NA;NA
Mecaphesa_junctus;Nonendemic;1;NA;NA
Mecaphesa_oreades;Nonendemic;1;NA;NA
Mecaphesa_arida;Nonendemic;1;NA;NA
Ariamnes_waikula;Endemic;0;1;0.4459
Ariamnes_hiwa;Endemic;0;2.13;0.5481
Argyrodes_hawaiiensis;Endemic;0;2.7309;0.6564
Havaika_cruciata;Endemic;0;1.1403;
Havaika_pubens;Endemic;0;2.3564;
Havaika_navata;NonEndemic;1;NA;
Havaika_valida;NonEndemic;1;NA;
