Clade_name,Status,Missing_species,Branching_times
Pedinopistha_stigmaticus,Non_Endemic_MaxAge,0,2.001
Pagiopalus_atomarius_Pagiopalus_sp,Endemic_MaxAgeMinAge,1,"1.337,0.576"
Pagiopalus_nigriventis,Non_Endemic_MaxAgeMinAge,0,"1.506,0.387"
Tetragnatha_obscura_Tetragnatha_kukuhaa,Endemic_MaxAge,0,"1.73,0.29"
Tetragnatha_hawaiiensis,Non_Endemic_MaxAge,0,4.787
Tetragnatha_quasimodo,Non_Endemic_MaxAge,0,2.761
Tetragnatha_anuenue,Endemic_MaxAge,0,2.1
Tetragnatha_brevignathaHA,Non_Endemic_MaxAge,0,1.69
Tetragnatha_restricta,Non_Endemic_MaxAge,0,2.05
Tetragnatha_kea,Endemic_MaxAge,0,1.72
Tetragnatha_long_clawed_legs,Endemic_MaxAge,0,1.6
Tetragnatha_elongate_forest_D_Tetragnatha_elongate_forest_E,Endemic,0,"0.79,0.145"
Tetragnatha_perkinsi,Endemic_MaxAge,0,1.64
Tetragnatha_golden_dome_Tetragnatha_red_star,Endemic_MaxAge,1,2.53
Tetragnatha_acuta,Non_Endemic_MaxAge,0,NA
Cnephalocotes_simpliciceps,Endemic_MaxAge,0,NA
Erigone_stygius,Endemic_MaxAge,0,NA
Orsonwelles_graphicus,Endemic_MaxAgeMinAge,0,"3.02,0.48"
Mecaphesa_anguliventris,Non_Endemic,0,0.3078
Mecaphesa_naevigera,Non_Endemic,0,0.5043
Mecaphesa_cavata,Endemic_MaxAgeMinAge,0,"1.402,0.2068"
Mecaphesa_facunda,Endemic_MaxAgeMinAge,0,"1.3136,0.4135"
Mecaphesa_kanakana,Non_Endemic,0,0.779
Mecaphesa_imbricata,Non_Endemic_MaxAge,0,NA
Mecaphesa_insulana,Non_Endemic_MaxAge,0,NA
Mecaphesa_junctus,Non_Endemic_MaxAge,0,NA
Mecaphesa_oreades,Non_Endemic_MaxAge,0,NA
Mecaphesa_arida,Non_Endemic_MaxAge,0,NA
Mecaphesa_nigrofrenata,Non_Endemic_MaxAge,0,NA
Synaema_naevigerum,Non_Endemic_MaxAge,0,NA
Ariamnes_waikula,Endemic,0,1
Ariamnes_hiwa,Endemic_MaxAgeMinAge,0,"2.13,0.5481"
Argyrodes_hawaiiensis,Endemic_MaxAgeMinAge,0,"2.7309,0.6564"
Havaika_cruciata,Endemic,0,1.1403
Havaika_pubens,Non_Endemic_MaxAge,0,2.3564
Havaika_navata,Non_Endemic_MaxAge,0,NA
Havaika_valida,Non_Endemic_MaxAge,0,NA
Araneus_emmae,Non_Endemic_MaxAge,0,NA
Araneus_kapiolaniae,Non_Endemic_MaxAge,0,NA
Cyclosa_cucurbitula_trees_speckles,Non_Endemic_MaxAge,0,NA
Cyclosa_cucurbitula_simplicaudata,Non_Endemic_MaxAge,0,NA
Cyclosa_cucurbitula_perkinsi,Non_Endemic_MaxAge,0,NA
Lycosa_hawaiiensis,Non_Endemic_MaxAge,0,NA
Lycosa_howarthi,Endemic_MaxAge,1,NA
Lycosa_oahuensis,Non_Endemic_MaxAge,0,NA
Syroloma_majus,Non_Endemic_MaxAge,0,NA
Ischnothyreus_sp,Endemic_MaxAge,1,NA
Theridion_grallator,Non_Endemic_MaxAge,0,NA
Theridion_melinum,Non_Endemic_MaxAge,0,NA
Theridion_praetextum,Non_Endemic_MaxAge,0,NA
